course_id;real_course_id;type;desc;ex;teacherId;
1101;1101;Θ;Μαθηματικά Ι;1;1;
1102;1102;Θ;Δομημένος Προγραμματισμός;1;1;
1103;1103;Θ;Εισαγωγή στην Επιστήμη των Υπολογιστών;1;1;
1104;1104;Θ;Ηλεκτρονική Φυσική;1;1;
1105;1105;Θ;Κυκλώματα Συνεχούς Ρεύματος;1;1;
1201;1201;Θ;Μαθηματικά ΙΙ;2;1;
1202;1202;Θ;Μετρήσεις και Κυκλώματα Εναλλασσόμενου Ρεύματος;2;1;
1203;1203;Θ;Τεχνική Συγγραφή, Παρουσίαση και Ορολογία Ξένης Γλώσσας;2;1;
1204;1204;Θ;Σχεδίαση Ψηφιακών Συστημάτων;2;1;
1205;1205;Θ;Αντικειμενοστρεφής Προγραμματισμός;2;1;
1301;1301;Θ;Θεωρία Πιθανοτήτων και Στατιστική;3;3;
1302;1302;Θ;Μαθηματικά ΙΙΙ;3;3;
1303;1303;Θ;Επεξεργασία Σήματος;3;3;
1304;1304;Θ;Οργάνωση και Αρχιτεκτονική Υπολογιστικών Συστημάτων;4;3;
1305;1305;Θ;Δομές Δεδομένων και Ανάλυση Αλγορίθμων;3;3;
1401;1401;Θ;Συστήματα Διαχείρισης Βάσεων Δεδομένων;4;3;
1402;1402;Θ;Τηλεπικοινωνιακά Συστήματα;4;3;
1403;1403;Θ;Εισαγωγή στα Λειτουργικά Συστήματα;4;3;
1404;1404;Θ;Ηλεκτρονικά Κυκλώματα;4;3;
1405;1405;Θ;Γλώσσες και Τεχνολογίες Ιστού;3;4;
1501;1501;Θ;Ασύρματες Επικοινωνίες;5;4;
1502;1502;Θ;Μικροελεγκτές;5;4;
1503;1503;Θ;Σχεδίαση Λειτουργικών Συστημάτων;5;4;
1504;1504;Θ;Ηλεκτρονικές Διατάξεις;5;4;
1505;1505;Θ;Αλληλεπίδραση Ανθρώπου-Μηχανής;5;4;
1601;1601;Θ;Τεχνητή Νοημοσύνη;6;4;
1602;1602;Θ;Ενσωματωμένα Συστήματα;6;4;
1611;1611;Θ;Σύνθεση Ηλεκτρονικών Κυκλωμάτων;6;4;
1612;1612;Θ;Κβαντική Υπολογιστική;6;4;
1613;1613;Θ;Μεθοδολογίες Σχεδιασμού Μικροηλεκτρονικών Κυκλωμάτων;6;4;
1641;1641;Θ;Αριθμητικές Μέθοδοι;6;5;
1642;1642;Θ;Προηγμένα Θέματα Αλληλεπίδρασης (Προγραμματισμός Κινητών Συσκευών);6;5;
1643;1643;Θ;Διοίκηση Έργων;6;5;
1671;1671;Θ;Μικροκυματική Τεχνολογία και Συστήματα;6;5;
1672;1672;Θ;Οπτικές Επικοινωνίες;6;5;
1673;1673;Θ;Ηλεκτρομαγνητική Συμβατότητα και Μετρήσεις;6;5;
1701;1701;Θ;Κατανεμημένα Συστήματα;7;5;
1702;1702;Θ;Διαχείριση Συστημάτων Αποθήκευσης και Ανάκτησης Πληροφοριών;7;5;
1703;1703;Θ;Σχεδίαση και Ανάπτυξη Λογισμικού Εφαρμογών;7;5;
1704;1704;Θ;Σύστημα Υποστήριξης Αποφάσεων;7;5;
1705;1705;Θ;Δικτυωτές Εφαρμογές και Υπηρεσίες;7;5;
1801;1801;Θ;Ασφάλεια και Απορρήτου Δεδομένων;8;5;
1802;1802;Θ;Ανάπτυξη Σύγχρονων Εφαρμογών σε Περιβάλλον Διαδικτύου;8;5;
1803;1803;Θ;Προστασία Δικτύων και Συστημάτων;8;5;
1804;1804;Θ;Διαχείριση Πολυμέσων και Ψηφιακού Περιεχομένου;8;5;
1805;1805;Θ;Τεχνολογία Κινητών και Ασύρματων Δικτύων;8;5;
1901;1901;Θ;Εργαστήριο Ψηφιακών Τηλεπικοινωνιών;9;5;
1902;1902;Θ;Εργαστήριο Επεξεργασίας Σήματος;9;5;
1903;1903;Θ;Εργαστήριο Αντικειμενοστραφούς Προγραμματισμού;9;5;
1904;1904;Θ;Εργαστήριο Ψηφιακών Συστημάτων;9;6;
1905;1905;Θ;Εργαστήριο Ηλεκτρονικής;9;6;
1911;1911;Θ;Εφαρμογές Ενσωματωμένων Συστημάτων;9;6;
1912;1912;Θ;Ρομποτική;9;6;
1913;1913;Θ;ΑΠΕ και Ευφυή Ηλεκτρικά Δίκτυα;9;6;
1914;1914;Θ;Απτικές Διεπαφές;9;6;
1915;1915;Θ;Βιοϊατρική Τεχνολογία;9;6;
1916;1916;Θ;Συστήματα Μετρήσεων Υποβοηθούμενων από Η/Υ;9;6;
1941;1941;Θ;Ανάπτυξη Διαδικτυακών Συστημάτων και Εφαρμογών;9;6;
1942;1942;Θ;Επιχειρησιακή Έρευνα;9;6;
1943;1943;Θ;Ανάκτηση Πληροφοριών - Μηχανές Αναζήτησης;9;6;
1944;1944;Θ;Διαχείριση Συστήματος και Υπηρεσιών DBMS;9;6;
1945;1945;Θ;Ευφυή Συστήματα;9;6;
1946;1946;Θ;Προηγμένα Θέματα Τεχνητής Νοημοσύνης;9;6;
1947;1947;Θ;Προηγμένη Μηχανική Μάθηση;9;6;
1948;1948;Θ;Ανάπτυξη Ολοκληρωμένων Πληροφοριακών Συστημάτων;9;7;
1949;1949;Θ;Κατανεμημένα Συστήματα;9;7;
1950;1950;Θ;Σημασιολογικός Ιστός;9;7;
1969;1969;Θ;Γραφικά Υπολογιστών;9;7;
1970;1970;Θ;Πρακτική Άσκηση;9;7;
1971;1971;Θ;Ασφάλεια Δικτύων και Επικοινωνιών;9;7;
1972;1972;Θ;Δικτύωση Καθορισμένη από Λογισμικό;9;7;
1973;1973;Θ;Ειδικά Θέματα Δικτύων (CCNA) 2;9;7;
1974;1974;Θ;Δορυφορικές Επικοινωνίες;9;7;
1975;1975;Θ;Τεχνολογία Πολυμέσων;9;7;
1998;1998;Θ;Ελεύθερη Επιλογή Α;7;7;
1999;1999;Π;Διπλωματική Εργασία;10;7;
